2024-03-01 10:03:22.038[1709301802038] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET http://kubernetes.docker.internal:53389//dapi/v1/account?timestamp=1709301802024&signature=4696f81e07ad052422e79b0b5ba1698f66982897b5d42b3a1705bbdce82eb360
2024-03-01 10:03:22.106[1709301802106] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET http://kubernetes.docker.internal:53391//dapi/v1/userTrades?symbol=bnbusd_perpetual&timestamp=1709301802106&signature=856eb30320d3fcdd4e9c3dc4429931528b6b73a7aa309ca3e885b0bbc9d4e5c4
2024-03-01 10:03:22.156[1709301802156] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET http://kubernetes.docker.internal:53394//dapi/v1/allOrders?symbol=bnbusd_perpetual&timestamp=1709301802155&signature=0c5031efb93571fac655488c6d836904ea0df8ed19f15fe7c12e8c933d4fb96a
2024-03-01 10:03:22.218[1709301802218] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST http://kubernetes.docker.internal:53398//dapi/v1/countdownCancelAll?symbol=BNBUSDT&countdownTime=10000&timestamp=1709301802217&signature=499b8d9d643bf42767845fa1029cdf074c4a19651284b6a6bfdd077956fa2379
2024-03-01 10:03:22.282[1709301802282] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE http://kubernetes.docker.internal:53401//dapi/v1/allOpenOrders?symbol=BNBUSDT&timestamp=1709301802282&signature=c5fac9a8ec4e041405a29d1f8f2fea9317f1d1ed210233fbb40df8877adad1a9
2024-03-01 10:03:22.335[1709301802335] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE http://kubernetes.docker.internal:53404//dapi/v1/batchOrders?symbol=BNBUSDT&orderIdList=&timestamp=1709301802334&signature=0aaaef3de1e6d45614ed13679bd9b0efc083ba544e3ff160608c493922e5abca
2024-03-01 10:03:22.377[1709301802377] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE http://kubernetes.docker.internal:53406//dapi/v1/order?symbol=BNBUSD_PERP&orderId=&timestamp=1709301802377&signature=d36c9b4ea8d24a03828dd85539f207bfec2310893eac502a8244b541aaaeac97
2024-03-01 10:03:22.422[1709301802422] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - DELETE http://kubernetes.docker.internal:53409//dapi/v1/order?symbol=BNBUSD_PERP&orderId=123&origClientOrderId=456&timestamp=1709301802421&signature=3aaf60e78756dbad79f725273aaf32297fcf54ed55be558c5899f594c29769fb
2024-03-01 10:03:22.460[1709301802460] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST http://kubernetes.docker.internal:53411//dapi/v1/leverage?symbol=BNBUSDT&leverage=20&timestamp=1709301802460&signature=f2554420829e45a929e904a30cee97fdcec85fa163fd79951ddfaab7f7243474
2024-03-01 10:03:22.520[1709301802520] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST http://kubernetes.docker.internal:53415//dapi/v1/positionSide/dual?dualSidePosition=true&timestamp=1709301802520&signature=c94b0828574d6824c1987abdc39448b5cb3ab02af2fc4fb08081ae16177f663a
2024-03-01 10:03:22.555[1709301802555] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET http://kubernetes.docker.internal:53417//dapi/v1/openOrders?symbol=BNBUSDT&timestamp=1709301802555&signature=b235b306f87e03178c8652676e9a8aa648e5d8d5b33c28bd4a057bb6c8f8fac4
