Project Name,Package Name,Architecture Smell,Cause of the Smell
binance-futures-connector-java,com.binance.connector.futures.client.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.binance.connector.futures.client.impl.cm_futures; com.binance.connector.futures.client.utils; com.binance.connector.futures.client.impl.um_futures
binance-futures-connector-java,com.binance.connector.futures.client.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CMFuturesClientImpl; FuturesClientImpl; UMFuturesClientImpl]; [CMWebsocketClientImpl; MarkPriceSymbolParams; WebsocketClientImpl; UMWebsocketClientImpl]. LCC (Lack of Component Cohesion) = 0.29
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.utils; com.binance.connector.futures.client.impl.futures.
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.utils; com.binance.connector.futures.client.impl.futures.
binance-futures-connector-java,com.binance.connector.futures.client.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HttpClientSingleton; ProxyAuth; RequestHandler; ResponseHandler; SignatureGenerator; UrlBuilder; JSONParser; RequestBuilder]; [ParameterChecker]; [WebSocketCallback; WebSocketConnection]. LCC (Lack of Component Cohesion) = 0.27
binance-futures-connector-java,examples.cm_futures.account,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountInformation]; [AccountTradeList]; [AllOrders]; [AutoCancelOpen]; [CancelAllOpenOrders]; [CancelMultipleOrders]; [CancelOrder]; [ChangeInitialLeverage]; [ChangeMarginType]; [ChangePositionModeTrade]; [CurrentAllOpenOrders]; [FuturesAccountBalance]; [GetAdlQuantile]; [GetCurrentPositionMode]; [GetForceOrders]; [GetIncomeHistory]; [GetLeverageBracket]; [GetPositionMarginChangeHistory]; [ModifyIsolatedPositionMargin]; [NewOrder]; [PlaceMultipleOrders]; [PositionInformation]; [QueryCurrentOpenOrder]; [QueryOrder]. LCC (Lack of Component Cohesion) = 1.0
binance-futures-connector-java,examples.cm_futures.account,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.cm_futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.cm_futures.account,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.cm_futures.market,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggTrades]; [Basis]; [BookTicker]; [ContinuousKlines]; [Depth]; [ExchangeInfo]; [FundingRateHistory]; [HistoricalTrades]; [IndexPriceKlines]; [Klines]; [LongShortRatio]; [MarkPrice]; [MarkPriceKlines]; [OpenInterest]; [OpenInterestStatistics]; [Ping]; [Ticker24H]; [TickerPrice]; [Time]; [TopLongShortAccountRatio]; [TopLongShortPositionRatio]; [Trades]. LCC (Lack of Component Cohesion) = 1.0
binance-futures-connector-java,examples.cm_futures.market,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.cm_futures.market,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.cm_futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.cm_futures.proxy,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.cm_futures.userdata,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl; com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.futures.
binance-futures-connector-java,examples.cm_futures.websocket,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggTradeStream]; [AllBookTicker]; [AllForceOrderStream]; [AllMiniTickerStream]; [AllTickerStream]; [BookTicker]; [CombineStreams]; [ContinuousKlineStream]; [DiffDepthStream]; [ForceOrderStream]; [IndexKlineCandlestick]; [IndexPriceStream]; [KlineStream]; [ListenUserStream]; [MarkKlineCandlestick]; [MarkPriceStream]; [MarkPriceSymbolsPairStream]; [MiniTickerStream]; [PartialDepthStream]; [SymbolTicker]. LCC (Lack of Component Cohesion) = 1.0
binance-futures-connector-java,examples.um_futures.account,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountInformation]; [AccountTradeList]; [AllOrders]; [AutoCancelOpen]; [CancelAllOpenOrders]; [CancelMultipleOrders]; [CancelOrder]; [ChangeInitialLeverage]; [ChangeMarginType]; [ChangeMultiAssetsMode]; [ChangePositionModeTrade]; [CurrentAllOpenOrders]; [FuturesAccountBalance]; [GetAdlQuantile]; [GetCurrentMultiAssetMode]; [GetCurrentPositionMode]; [GetForceOrders]; [GetIncomeHistory]; [GetLeverageBracket]; [GetPositionMarginChangeHistory]; [ModifyIsolatedPositionMargin]; [NewOrder]; [PlaceMultipleOrders]; [PositionInformation]; [QueryCurrentOpenOrder]; [QueryOrder]. LCC (Lack of Component Cohesion) = 1.0
binance-futures-connector-java,examples.um_futures.account,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl.um_futures; com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.um_futures.account,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.um_futures.market,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggTrades]; [BookTicker]; [ContinuousKlines]; [Depth]; [ExchangeInfo]; [FundingRateHistory]; [HistoricalBlvtKlines]; [HistoricalTrades]; [IndexInfo]; [IndexPriceKlines]; [Klines]; [LongShortRatio]; [MarkPrice]; [MarkPriceKlines]; [MultiAssetModeIndex]; [OpenInterest]; [OpenInterestStatistics]; [Ping]; [TakerBuySellVolume]; [Ticker24H]; [TickerPrice]; [Time]; [TopLongShortAccountRatio]; [TopLongShortPositionRatio]; [Trades]. LCC (Lack of Component Cohesion) = 1.0
binance-futures-connector-java,examples.um_futures.market,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.um_futures.market,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl.um_futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.um_futures.proxy,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.impl.futures; com.binance.connector.futures.client.impl.
binance-futures-connector-java,examples.um_futures.userdata,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.binance.connector.futures.client.exceptions; com.binance.connector.futures.client.impl; com.binance.connector.futures.client.impl.futures.
binance-futures-connector-java,examples.um_futures.websocket,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggTradeStream]; [AllBookTicker]; [AllForceOrderStream]; [AllMarkPriceStream]; [AllMiniTickerStream]; [AllTickerStream]; [BookTicker]; [CombineStreams]; [CompositeIndex]; [ContinuousKlineStream]; [DiffDepthStream]; [ForceOrderStream]; [KlineStream]; [ListenUserStream]; [MarkPriceStream]; [MiniTickerStream]; [PartialDepthStream]; [SymbolTicker]. LCC (Lack of Component Cohesion) = 1.0
