Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
binance-futures-connector-java,com.binance.connector.futures.client.enums,DefaultUrls,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TESTNET_URL; TESTNET_WSS_URL; USDM_PROD_URL; USDM_WS_URL; COINM_PROD_URL; COINM_WS_URL
binance-futures-connector-java,com.binance.connector.futures.client.enums,HttpMethod,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
binance-futures-connector-java,com.binance.connector.futures.client.enums,RequestType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
binance-futures-connector-java,com.binance.connector.futures.client,WebsocketClient,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
binance-futures-connector-java,com.binance.connector.futures.client.impl,CMFuturesClientImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FuturesClientImpl
binance-futures-connector-java,com.binance.connector.futures.client.impl,CMWebsocketClientImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebsocketClientImpl
binance-futures-connector-java,com.binance.connector.futures.client.impl,FuturesClientImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FuturesClient
binance-futures-connector-java,com.binance.connector.futures.client.impl,UMFuturesClientImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FuturesClientImpl
binance-futures-connector-java,com.binance.connector.futures.client.impl,UMWebsocketClientImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WebsocketClientImpl
binance-futures-connector-java,com.binance.connector.futures.client.impl,WebsocketClientImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMUserData,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UserData
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,Account,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,Market,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.9230769230769231
