Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
binance-futures-connector-java,com.binance.connector.futures.client.impl,WebsocketClientImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.utils.WebSocketConnection
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (modifyOrder) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (orderModifyHistory) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (futuresAccountBalance) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (accountInformation) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (positionInformation) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,Law of Demeter violation,The tool detected the smell in this method (getLeverageBracketForPair) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMMarket,Law of Demeter violation,The tool detected the smell in this method (basis) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Market.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendPublicRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,Account,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.utils.RequestHandler
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,Market,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.utils.RequestHandler
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,PortfolioMargin,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.utils.RequestHandler
binance-futures-connector-java,com.binance.connector.futures.client.impl.futures,UserData,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.utils.RequestHandler
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (changeMultiAssetsMode) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (getCurrentMultiAssetMode) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (futuresAccountBalance) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (accountInformation) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (positionInformation) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (getTradingRulesIndicators) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (futuresDownloadId) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMAccount,Law of Demeter violation,The tool detected the smell in this method (futuresDownloadLink) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendSignedRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMMarket,Law of Demeter violation,The tool detected the smell in this method (takerBuySellVol) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Market.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendPublicRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMMarket,Law of Demeter violation,The tool detected the smell in this method (historicalBlvt) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Market.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendPublicRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMMarket,Law of Demeter violation,The tool detected the smell in this method (indexInfo) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Market.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendPublicRequest
binance-futures-connector-java,com.binance.connector.futures.client.impl.um_futures,UMMarket,Law of Demeter violation,The tool detected the smell in this method (assetIndex) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Market.getRequestHandler; com.binance.connector.futures.client.utils.RequestHandler.sendPublicRequest
binance-futures-connector-java,examples.cm_futures.account,AccountInformation,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.impl.CMFuturesClientImpl
binance-futures-connector-java,examples.cm_futures.account,AccountInformation,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.cm_futures.CMAccount.accountInformation; com.binance.connector.futures.client.impl.CMFuturesClientImpl.account
binance-futures-connector-java,examples.cm_futures.account,AccountTradeList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.impl.CMFuturesClientImpl
binance-futures-connector-java,examples.cm_futures.account,AccountTradeList,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.CMFuturesClientImpl.account; com.binance.connector.futures.client.impl.cm_futures.CMAccount.accountTradeList
binance-futures-connector-java,examples.cm_futures.account,AllOrders,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.impl.CMFuturesClientImpl
binance-futures-connector-java,examples.cm_futures.account,AllOrders,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.CMFuturesClientImpl.account; com.binance.connector.futures.client.impl.cm_futures.CMAccount.allOrders
binance-futures-connector-java,examples.cm_futures.account,AutoCancelOpen,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.impl.CMFuturesClientImpl
binance-futures-connector-java,examples.cm_futures.account,AutoCancelOpen,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.futures.Account.autoCancelOpen; com.binance.connector.futures.client.impl.CMFuturesClientImpl.account
binance-futures-connector-java,examples.cm_futures.account,CancelAllOpenOrders,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.binance.connector.futures.client.impl.CMFuturesClientImpl
binance-futures-connector-java,examples.cm_futures.account,CancelAllOpenOrders,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.binance.connector.futures.client.impl.CMFuturesClientImpl.account; com.binance.connector.futures.client.impl.futures.Account.cancelAllOpenOrders
