Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
binance-futures-connector-java,com.binance.connector.futures.client.enums,DefaultUrls,6,6,1,0,10,1,0,0,0.0,4,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\enums\DefaultUrls.java,3
binance-futures-connector-java,com.binance.connector.futures.client.enums,HttpMethod,0,0,0,0,1,0,0,0,-1.0,126,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\enums\HttpMethod.java,3
binance-futures-connector-java,com.binance.connector.futures.client.enums,RequestType,0,0,0,0,1,0,0,0,-1.0,1,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\enums\RequestType.java,3
binance-futures-connector-java,com.binance.connector.futures.client.exceptions,BinanceClientException,5,0,5,5,27,5,0,0,0.0,6,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\exceptions\BinanceClientException.java,3
binance-futures-connector-java,com.binance.connector.futures.client.exceptions,BinanceConnectorException,1,0,1,1,6,1,0,0,0.0,66,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\exceptions\BinanceConnectorException.java,3
binance-futures-connector-java,com.binance.connector.futures.client.exceptions,BinanceServerException,3,0,3,3,16,3,0,0,0.0,1,0,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\exceptions\BinanceServerException.java,3
binance-futures-connector-java,com.binance.connector.futures.client,FuturesClient,0,0,4,0,6,4,1,0,-1.0,0,4,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\FuturesClient.java,8
binance-futures-connector-java,com.binance.connector.futures.client,WebsocketClient,0,0,34,0,36,34,1,0,-1.0,0,1,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\WebsocketClient.java,6
binance-futures-connector-java,com.binance.connector.futures.client.impl,CMFuturesClientImpl,2,0,10,10,34,10,0,2,0.5,107,5,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\CMFuturesClientImpl.java,9
binance-futures-connector-java,com.binance.connector.futures.client.impl,CMWebsocketClientImpl,0,0,10,10,131,12,1,2,-1.0,19,5,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\CMWebsocketClientImpl.java,9
binance-futures-connector-java,com.binance.connector.futures.client.impl,FuturesClientImpl,6,0,13,13,51,13,2,1,0.15384615384615385,0,1,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\FuturesClientImpl.java,6
binance-futures-connector-java,com.binance.connector.futures.client.impl,MarkPriceSymbolParams,6,0,7,7,42,7,0,0,0.0,1,1,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\MarkPriceSymbolParams.java,5
binance-futures-connector-java,com.binance.connector.futures.client.impl,UMFuturesClientImpl,2,0,10,10,34,10,0,2,0.5,118,5,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\UMFuturesClientImpl.java,9
binance-futures-connector-java,com.binance.connector.futures.client.impl,UMWebsocketClientImpl,0,0,6,6,68,7,0,2,-1.0,19,4,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\UMWebsocketClientImpl.java,9
binance-futures-connector-java,com.binance.connector.futures.client.impl,WebsocketClientImpl,4,0,39,39,523,46,2,1,0.0,0,6,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\WebsocketClientImpl.java,18
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMAccount,6,0,11,11,119,11,0,1,1.0,1,3,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\cm_futures\CMAccount.java,9
binance-futures-connector-java,com.binance.connector.futures.client.impl.cm_futures,CMMarket,1,0,10,10,110,10,0,1,1.0,1,3,G:\binance-futures-connector-java\src\main\java\com\binance\connector\futures\client\impl\cm_futures\CMMarket.java,9
